   lamda     c0    c1      c2
  413.992962     1.00700E-03     4.74300E-06    -1.03300E-08
  414.078675     1.02700E-03     4.80400E-06    -1.06400E-08
  414.164423     1.04900E-03     4.86600E-06    -1.11600E-08
  414.250207     1.07200E-03     4.93900E-06    -1.14600E-08
  414.336027     1.09400E-03     5.00400E-06    -1.19000E-08
  414.421881     1.11600E-03     5.07300E-06    -1.22800E-08
  414.507772     1.13900E-03     5.15000E-06    -1.23800E-08
  414.593698     1.16100E-03     5.21200E-06    -1.28900E-08
  414.679660     1.18300E-03     5.28500E-06    -1.32000E-08
  414.765657     1.20600E-03     5.35800E-06    -1.35000E-08
  414.851691     1.22800E-03     5.42000E-06    -1.40100E-08
  414.937759     1.25100E-03     5.49300E-06    -1.43100E-08
  415.023864     1.27500E-03     5.55800E-06    -1.48300E-08
  415.110004     1.30300E-03     5.64300E-06    -1.51300E-08
  415.196180     1.33100E-03     5.72300E-06    -1.56400E-08
  415.282392     1.35900E-03     5.81600E-06    -1.57900E-08
  415.368640     1.38800E-03     5.89700E-06    -1.63000E-08
  415.454923     1.41600E-03     5.97700E-06    -1.67400E-08
  415.541242     1.44400E-03     6.05800E-06    -1.72400E-08
  415.627598     1.47200E-03     6.14300E-06    -1.76000E-08
  415.713989     1.50000E-03     6.22300E-06    -1.80400E-08
  415.800416     1.52900E-03     6.31200E-06    -1.84100E-08
  415.886879     1.55700E-03     6.39300E-06    -1.88500E-08
  415.973378     1.58500E-03     6.48100E-06    -1.90700E-08
  416.059913     1.60900E-03     6.54300E-06    -1.95900E-08
  416.146484     1.63100E-03     6.60800E-06    -1.98200E-08
  416.233091     1.65200E-03     6.67400E-06    -1.99900E-08
  416.319734     1.67400E-03     6.74300E-06    -2.00900E-08
  416.406413     1.69600E-03     6.80500E-06    -2.04700E-08
  416.493128     1.71800E-03     6.87000E-06    -2.06400E-08
  416.579879     1.74000E-03     6.93500E-06    -2.08100E-08
  416.666667     1.76100E-03     7.00500E-06    -2.09100E-08
  416.753490     1.78300E-03     7.07000E-06    -2.11400E-08
  416.840350     1.80500E-03     7.13200E-06    -2.14600E-08
  416.927246     1.82700E-03     7.19700E-06    -2.16300E-08
  417.014178     1.84600E-03     7.25100E-06    -2.20000E-08
  417.101147     1.85900E-03     7.29700E-06    -2.21200E-08
  417.188152     1.87100E-03     7.33200E-06    -2.24500E-08
  417.275193     1.88300E-03     7.37000E-06    -2.26400E-08
  417.362270     1.89500E-03     7.41600E-06    -2.27600E-08
  417.449384     1.90700E-03     7.45400E-06    -2.29500E-08
  417.536534     1.91900E-03     7.49200E-06    -2.31400E-08
  417.623721     1.93200E-03     7.52700E-06    -2.35300E-08
  417.710944     1.94400E-03     7.56500E-06    -2.37300E-08
  417.798203     1.95600E-03     7.60400E-06    -2.39800E-08
  417.885499     1.96800E-03     7.64200E-06    -2.41700E-08
  417.972832     1.98000E-03     7.68400E-06    -2.42900E-08
  418.060201     1.98500E-03     7.70300E-06    -2.44200E-08
  418.147606     1.98800E-03     7.71500E-06    -2.46200E-08
  418.235048     1.99000E-03     7.72600E-06    -2.47000E-08
  418.322527     1.99200E-03     7.74100E-06    -2.46800E-08
  418.410042     1.99400E-03     7.75300E-06    -2.47500E-08
  418.497594     1.99700E-03     7.77600E-06    -2.46000E-08
  418.585182     1.99900E-03     7.78700E-06    -2.48800E-08
  418.672807     2.00100E-03     7.79800E-06    -2.48800E-08
  418.760469     2.00300E-03     7.81000E-06    -2.50100E-08
  418.848168     2.00600E-03     7.82500E-06    -2.49400E-08
  418.935903     2.00800E-03     7.83600E-06    -2.52100E-08
  419.023675     2.00900E-03     7.84400E-06    -2.51400E-08
  419.111484     2.00800E-03     7.84800E-06    -2.50600E-08
  419.199329     2.00700E-03     7.85200E-06    -2.48500E-08
  419.287212     2.00700E-03     7.84500E-06    -2.49900E-08
  419.375131     2.00600E-03     7.84900E-06    -2.49100E-08
  419.463087     2.00500E-03     7.85300E-06    -2.46300E-08
  419.551080     2.00400E-03     7.84900E-06    -2.47000E-08
  419.639110     2.00300E-03     7.85300E-06    -2.44800E-08
  419.727177     2.00200E-03     7.85000E-06    -2.45400E-08
  419.815281     2.00100E-03     7.85300E-06    -2.44100E-08
  419.903422     2.00000E-03     7.85800E-06    -2.41900E-08
  419.991600     2.00000E-03     7.85400E-06    -2.42500E-08
  420.079815     2.00700E-03     7.87000E-06    -2.41600E-08
  420.168067     2.01600E-03     7.87400E-06    -2.43500E-08
  420.256356     2.02500E-03     7.88300E-06    -2.45300E-08
  420.344683     2.03400E-03     7.89500E-06    -2.44400E-08
  420.433046     2.04300E-03     7.90700E-06    -2.45400E-08
  420.521447     2.05200E-03     7.90800E-06    -2.48100E-08
  420.609884     2.06100E-03     7.92000E-06    -2.48500E-08
  420.698359     2.07000E-03     7.92800E-06    -2.50400E-08
  420.786871     2.07800E-03     7.94400E-06    -2.49400E-08
  420.875421     2.08700E-03     7.94900E-06    -2.50500E-08
  420.964008     2.09600E-03     7.95700E-06    -2.51700E-08
  421.052632     2.11800E-03     7.98400E-06    -2.56900E-08
  421.141293     2.14800E-03     8.02400E-06    -2.62600E-08
  421.229992     2.17700E-03     8.06300E-06    -2.66900E-08
  421.318728     2.20700E-03     8.10600E-06    -2.71800E-08
  421.407501     2.23700E-03     8.14900E-06    -2.77600E-08
  421.496312     2.26700E-03     8.18900E-06    -2.83300E-08
  421.585160     2.29700E-03     8.22800E-06    -2.89000E-08
  421.674046     2.32600E-03     8.26700E-06    -2.94700E-08
  421.762969     2.35600E-03     8.30700E-06    -3.01000E-08
  421.851930     2.38600E-03     8.34200E-06    -3.08200E-08
  421.940928     2.41600E-03     8.38500E-06    -3.13100E-08
  422.029964     2.45400E-03     8.44000E-06    -3.20900E-08
  422.119038     2.50500E-03     8.51000E-06    -3.31900E-08
  422.208149     2.55700E-03     8.58800E-06    -3.42100E-08
  422.297297     2.60900E-03     8.65800E-06    -3.53100E-08
  422.386484     2.66100E-03     8.73200E-06    -3.65600E-08
  422.475708     2.71200E-03     8.80200E-06    -3.76500E-08
  422.564969     2.76400E-03     8.88300E-06    -3.84800E-08
  422.654269     2.81600E-03     8.95000E-06    -3.97200E-08
  422.743606     2.86800E-03     9.02700E-06    -4.08200E-08
