    WLVAC         C0           C1           C2           BETA         RHO
 2.55300e+03  3.14633e+02 -5.92391e-02 -3.65969e-04  2.47273e+00  3.50254e-02
 2.55400e+03  3.14428e+02 -4.42328e-02 -1.48552e-04  2.46840e+00  3.50144e-02
 2.55500e+03  3.13916e+02 -3.72600e-02 -1.40440e-04  2.46409e+00  3.50034e-02
 2.55600e+03  3.12627e+02 -1.57744e-02  1.79966e-04  2.45978e+00  3.49925e-02
 2.55700e+03  3.11194e+02 -1.15256e-02  9.39906e-05  2.45548e+00  3.49815e-02
 2.55800e+03  3.10428e+02 -1.67237e-02 -1.14370e-04  2.45119e+00  3.49705e-02
 2.55900e+03  3.09432e+02 -9.73121e-03 -6.19180e-05  2.44691e+00  3.49595e-02
 2.56000e+03  3.08119e+02 -9.46234e-03 -3.29253e-05  2.44264e+00  3.49485e-02
 2.56100e+03  3.07014e+02 -1.69929e-03 -9.88805e-05  2.43838e+00  3.49375e-02
 2.56200e+03  3.05429e+02  1.89944e-03  1.41437e-04  2.43412e+00  3.49265e-02
 2.56300e+03  3.04352e+02 -5.34054e-03 -1.00779e-04  2.42988e+00  3.49155e-02
 2.56400e+03  3.02346e+02  2.39281e-02  3.56811e-04  2.42564e+00  3.49045e-02
 2.56500e+03  3.00657e+02  2.55766e-02  3.16623e-04  2.42142e+00  3.48935e-02
 2.56600e+03  3.00922e+02 -3.77988e-02 -8.85075e-04  2.41720e+00  3.48825e-02
 2.56700e+03  3.00363e+02 -1.09745e-02 -1.32427e-04  2.41300e+00  3.48715e-02
 2.56800e+03  3.00608e+02 -1.96788e-03 -4.25823e-06  2.40880e+00  3.48605e-02
 2.56900e+03  3.01771e+02 -3.01745e-02 -5.03449e-04  2.40461e+00  3.48495e-02
 2.57000e+03  3.02914e+02 -2.47580e-02 -1.63921e-04  2.40043e+00  3.48385e-02
 2.57100e+03  3.03511e+02 -2.21959e-02 -5.62844e-05  2.39625e+00  3.48275e-02
 2.57200e+03  3.03648e+02 -1.84231e-02  1.12389e-05  2.39209e+00  3.48165e-02
 2.57300e+03  3.03024e+02 -9.08056e-03  2.86677e-04  2.38793e+00  3.48055e-02
 2.57400e+03  3.02090e+02 -1.36751e-02  1.16083e-04  2.38379e+00  3.47945e-02
 2.57500e+03  3.00607e+02 -2.35752e-02 -9.87736e-06  2.37965e+00  3.47835e-02
 2.57600e+03  2.99880e+02  3.71972e-03  2.18086e-04  2.37552e+00  3.47725e-02
 2.57700e+03  2.99464e+02 -4.75494e-03  1.13914e-04  2.37141e+00  3.47615e-02
 2.57800e+03  2.99797e+02 -1.43714e-02 -1.58771e-04  2.36730e+00  3.47505e-02
 2.57900e+03  2.99451e+02 -5.50734e-03 -5.31583e-05  2.36319e+00  3.47395e-02
 2.58000e+03  2.98369e+02  9.65303e-03  2.71552e-04  2.35910e+00  3.47285e-02
 2.58100e+03  2.98762e+02 -3.09728e-03  1.09959e-04  2.35501e+00  3.47175e-02
 2.58200e+03  3.00004e+02 -2.13221e-02 -1.58850e-04  2.35094e+00  3.47065e-02
 2.58300e+03  3.01752e+02 -2.30757e-02  1.58745e-04  2.34687e+00  3.46955e-02
 2.58400e+03  3.04509e+02 -5.45488e-02 -4.94918e-04  2.34281e+00  3.46845e-02
 2.58500e+03  3.07185e+02 -5.09384e-02 -2.45462e-04  2.33876e+00  3.46735e-02
 2.58600e+03  3.09399e+02 -7.00385e-02 -8.05065e-04  2.33472e+00  3.46625e-02
 2.58700e+03  3.10104e+02 -4.25462e-02 -1.10315e-04  2.33069e+00  3.46515e-02
 2.58800e+03  3.08830e+02 -2.13368e-02  3.51681e-04  2.32667e+00  3.46405e-02
 2.58900e+03  3.07704e+02  1.96896e-03  6.73716e-04  2.32265e+00  3.46295e-02
 2.59000e+03  3.06130e+02  1.49209e-03  5.32931e-04  2.31864e+00  3.46186e-02
 2.59100e+03  3.04466e+02 -2.41084e-04  2.57145e-04  2.31464e+00  3.46076e-02
 2.59200e+03  3.00038e+02  3.96819e-02  9.54178e-04  2.31065e+00  3.45966e-02
 2.59300e+03  2.96793e+02  4.23094e-02  7.43056e-04  2.30667e+00  3.45856e-02
 2.59400e+03  2.93478e+02  4.18137e-02  7.47520e-04  2.30269e+00  3.45746e-02
 2.59500e+03  2.90676e+02  4.66162e-02  3.70357e-04  2.29873e+00  3.45636e-02
 2.59600e+03  2.88570e+02  2.75179e-02  1.19340e-04  2.29477e+00  3.45526e-02
 2.59700e+03  2.86477e+02  3.22941e-02  2.74179e-04  2.29083e+00  3.45416e-02
 2.59800e+03  2.86239e+02  1.72868e-02 -3.03601e-04  2.28689e+00  3.45306e-02
 2.59900e+03  2.85606e+02  9.53863e-03  1.66958e-05  2.28296e+00  3.45196e-02
 2.60000e+03  2.86135e+02 -1.14268e-03 -1.50069e-04  2.27903e+00  3.45086e-02
 2.60100e+03  2.88031e+02 -1.07591e-02 -4.24382e-04  2.27511e+00  3.44976e-02
 2.60200e+03  2.90260e+02 -2.00796e-02 -2.26866e-04  2.27124e+00  3.44926e-02
 2.60300e+03  2.93200e+02 -5.16893e-02 -7.23453e-04  2.26736e+00  3.44866e-02
 2.60400e+03  2.95084e+02 -6.09223e-02 -7.91138e-04  2.26350e+00  3.44806e-02
 2.60500e+03  2.96725e+02 -5.08447e-02 -3.69118e-04  2.25965e+00  3.44746e-02
 2.60600e+03  2.98398e+02 -6.81272e-02 -8.42667e-04  2.25580e+00  3.44686e-02
 2.60700e+03  2.98471e+02 -5.60762e-02 -6.55617e-04  2.25196e+00  3.44626e-02
 2.60800e+03  2.96565e+02 -1.71294e-02  9.52078e-05  2.24813e+00  3.44566e-02
 2.60900e+03  2.94560e+02 -1.30969e-02  1.90251e-04  2.24430e+00  3.44506e-02
 2.61000e+03  2.92424e+02 -1.11973e-02 -1.30982e-04  2.24049e+00  3.44446e-02
 2.61100e+03  2.89880e+02  1.51923e-02  9.12319e-05  2.23668e+00  3.44386e-02
 2.61200e+03  2.86883e+02  1.94809e-02 -2.01354e-04  2.23288e+00  3.44326e-02
 2.61300e+03  2.84348e+02  3.03639e-02 -9.70209e-06  2.22908e+00  3.44266e-02
 2.61400e+03  2.82271e+02  2.06049e-02 -1.14361e-04  2.22530e+00  3.44206e-02
 2.61500e+03  2.81145e+02  5.99057e-03 -3.71557e-04  2.22153e+00  3.44147e-02
 2.61600e+03  2.80730e+02 -1.31095e-04 -6.38061e-04  2.21776e+00  3.44087e-02
 2.61700e+03  2.79836e+02  1.61507e-02  1.56548e-04  2.21400e+00  3.44027e-02
 2.61800e+03  2.79412e+02  1.34908e-02  3.99217e-04  2.21025e+00  3.43967e-02
