        19.38     2.2696e+02    6.6324e-06    2.0950e-01
        57.14     2.5126e+02    6.8461e-06    2.0950e-01
       155.61     2.6255e+02    6.5987e-06    2.0950e-01
       427.65     2.4568e+02    5.9965e-06    2.0950e-01
      1254.58     2.3088e+02    5.2468e-06    2.0950e-01
      3920.46     2.1772e+02    4.6760e-06    2.0950e-01
     13067.01     2.1238e+02    1.1127e-05    2.0950e-01
     17977.59     2.1428e+02    2.5289e-05    2.0950e-01
     24484.14     2.2683e+02    5.9390e-05    2.0950e-01
     32708.34     2.4230e+02    2.6369e-04    2.0950e-01
     42932.75     2.5687e+02    4.2814e-04    2.0950e-01
     55502.54     2.7190e+02    2.3624e-04    2.0950e-01
     70834.84     2.8492e+02    1.7208e-03    2.0950e-01
     72806.34     2.8651e+02    2.3091e-03    2.0950e-01
     74821.68     2.8797e+02    3.1360e-03    2.0950e-01
     76882.74     2.8935e+02    4.2465e-03    2.0950e-01
     78990.11     2.9071e+02    5.6307e-03    2.0950e-01
     81145.12     2.9202e+02    6.9063e-03    2.0950e-01
     83353.00     2.9207e+02    8.5440e-03    2.0950e-01
     84377.69     2.9204e+02    9.2532e-03    2.0950e-01
     86368.17     2.9258e+02    1.0010e-02    2.0950e-01
     88711.08     2.9350e+02    1.0769e-02    2.0950e-01
     91113.54     2.9341e+02    1.2584e-02    2.0950e-01
     93575.02     2.9523e+02    1.3186e-02    2.0950e-01
     96083.00     2.9793e+02    1.3514e-02    2.0950e-01
