NMMB/CMAQ+GDAS+RAQMS True Full State Vector Data
Data_Size = 75 x 9
surfaceTemperature = 311.541
ZSUR = 26.0700
latitude = 39.4101
longitude = -76.297
YYYYMMDD = 20110730
UTCSEC = 64567.0
End_of_Header  ****  End_of_Header  ****  End_of_Header  ****  End_of_Header
Level Pressure     TATM       H2O        O3         NO2        HCHO       SO2        CO
-     hPa          K          VMR        VMR        VMR        VMR        VMR        VMR
 40    316.8580017 2.4532E+02 1.0555E-03 3.9198E-08 7.1171E-12 1.4806E-10 7.1535E-12 8.7887E-08
 41    288.6190491 2.4062E+02 6.6509E-04 3.7140E-08 1.0484E-11 1.7619E-10 7.6308E-12 9.4353E-08
 42    262.4980469 2.3558E+02 5.2507E-04 4.2514E-08 1.5563E-11 1.8589E-10 4.5197E-12 9.7132E-08
 43    238.7975464 2.3073E+02 3.0171E-04 5.4406E-08 1.9801E-11 1.8749E-10 4.1809E-12 9.6715E-08
 44    217.4670105 2.2599E+02 1.5299E-04 5.9285E-08 2.3917E-11 2.0894E-10 4.2459E-12 9.6825E-08
 45    198.2040253 2.2119E+02 7.1331E-05 5.7644E-08 2.6305E-11 2.0668E-10 5.4226E-12 9.3476E-08
 46    180.9077606 2.1666E+02 3.2387E-05 6.7983E-08 2.7125E-11 1.8139E-10 3.0074E-12 9.0713E-08
 47    165.2250366 2.1258E+02 1.3918E-05 1.0507E-07 2.6684E-11 1.2258E-10 2.0686E-12 8.2433E-08
 48    150.7021637 2.0899E+02 1.1271E-05 1.4075E-07 2.9577E-11 7.5062E-11 1.9448E-12 7.6537E-08
 49    136.9356995 2.0571E+02 8.6991E-06 1.7013E-07 3.1985E-11 6.0400E-11 2.0221E-12 7.3952E-08
 50    123.7239380 2.0411E+02 7.4093E-06 2.4500E-07 3.3598E-11 5.1510E-11 1.8515E-12 6.8172E-08
 51    111.0163574 2.0391E+02 7.2045E-06 3.5264E-07 3.8711E-11 3.7143E-11 1.3384E-12 5.8136E-08
 52     98.6618729 2.0513E+02 5.0906E-06 4.5453E-07 5.0499E-11 2.2802E-11 9.0258E-13 4.8825E-08
 53     86.6602631 2.0713E+02 2.7720E-06 6.7106E-07 6.6074E-11 1.6323E-11 5.3264E-13 4.0997E-08
 54     74.9613266 2.1015E+02 2.2839E-06 9.5645E-07 8.7362E-11 1.4261E-11 3.1629E-13 3.3113E-08
 55     63.4640045 2.1157E+02 2.4537E-06 1.2951E-06 1.2508E-10 1.5179E-11 1.8287E-13 2.7227E-08
 56     52.1432343 2.1473E+02 4.2382E-06 1.9711E-06 1.9221E-10 1.7323E-11 3.5393E-14 2.1008E-08
 57     48.2345123 2.1613E+02 2.2560E-06 2.2212E-06 2.3805E-10 1.9176E-11 6.2252E-15 1.9370E-08
 58     41.8168831 2.1735E+02 1.6513E-06 2.8517E-06 3.0624E-10 2.2413E-11 4.0247E-15 1.8388E-08
 59     36.1492844 2.1870E+02 1.4488E-06 3.6236E-06 4.6101E-10 2.6615E-11 2.4067E-15 1.7978E-08
 60     31.1515160 2.1995E+02 1.6203E-06 4.4136E-06 7.1862E-10 3.2042E-11 1.3967E-15 1.8202E-08
 61     26.7502117 2.2162E+02 1.9116E-06 5.2106E-06 9.4548E-10 3.6821E-11 5.0722E-16 1.8399E-08
 62     22.8786736 2.2291E+02 1.9758E-06 5.9016E-06 1.4315E-09 4.3543E-11 2.4027E-16 1.8711E-08
 63     19.4765949 2.2434E+02 1.8701E-06 6.5359E-06 1.9207E-09 4.9997E-11 1.1758E-16 1.9015E-08
 64     16.4897194 2.2658E+02 1.7688E-06 7.2685E-06 2.4085E-09 5.4907E-11 3.4485E-17 1.9111E-08
 65     13.8694305 2.2787E+02 1.7313E-06 7.8841E-06 2.9711E-09 5.7467E-11 1.8607E-17 1.8800E-08
 66     11.5723000 2.2796E+02 1.7159E-06 8.3360E-06 3.4644E-09 5.9711E-11 4.6869E-18 1.8527E-08
 67      9.5596762 2.2850E+02 1.6381E-06 8.5870E-06 3.5397E-09 5.5602E-11 2.0196E-18 1.6283E-08
 68      7.7972245 2.3244E+02 1.5163E-06 8.7036E-06 3.5655E-09 5.1318E-11 7.5992E-19 1.4090E-08
 69      6.2545238 2.3710E+02 1.4239E-06 8.6784E-06 3.1254E-09 4.5235E-11 2.3161E-19 1.1706E-08
 70      4.9046464 2.4382E+02 1.4169E-06 8.3707E-06 2.4969E-09 3.8683E-11 7.1651E-20 9.3746E-09
 71      3.7237844 2.5105E+02 1.6433E-06 7.4844E-06 1.8797E-09 4.3642E-11 4.6232E-20 9.2140E-09
 72      2.6908376 2.5692E+02 1.7826E-06 6.0979E-06 1.2278E-09 5.2220E-11 5.2953E-20 9.9869E-09
 73      1.7868934 2.6553E+02 1.7936E-06 4.4549E-06 5.7811E-10 5.5243E-11 5.6498E-20 1.0755E-08
 74      0.9938254 2.6789E+02 1.9588E-06 2.7852E-06 1.3156E-10 4.0572E-11 4.4614E-20 1.0512E-08
 75      0.2665921 2.4665E+02 1.7376E-06 1.1776E-06 1.0000E-16 2.4143E-11 5.6817E-20 1.1526E-08
