0	0	288.15	1013.25
1	100	287.5	1001.29
2	200	286.85	989.453
3	300	286.2	977.726
4	400	285.55	966.111
5	500	284.9	954.608
6	600	284.25	943.217
7	700	283.6	931.936
8	800	282.95	920.764
9	900	282.3	909.701
10	1000	281.65	898.746
11	1100	281	887.898
12	1200	280.35	877.156
13	1300	279.7	866.519
14	1400	279.05	855.988
15	1500	278.4	845.56
16	1600	277.75	835.235
17	1700	277.1	825.013
18	1800	276.45	814.892
19	1900	275.8	804.872
20	2000	275.15	794.952
21	2100	274.5	785.131
22	2200	273.85	775.409
23	2300	273.2	765.784
24	2400	272.55	756.257
25	2500	271.9	746.825
26	2600	271.25	737.489
27	2700	270.6	728.248
28	2800	269.95	719.101
29	2900	269.3	710.047
30	3000	268.65	701.085
31	3100	268	692.216
32	3200	267.35	683.437
33	3300	266.7	674.749
34	3400	266.05	666.15
35	3500	265.4	657.641
36	3600	264.75	649.219
37	3700	264.1	640.886
38	3800	263.45	632.639
39	3900	262.8	624.478
40	4000	262.15	616.402
41	4100	261.5	608.412
42	4200	260.85	600.505
43	4300	260.2	592.682
44	4400	259.55	584.942
45	4500	258.9	577.283
46	4600	258.25	569.706
47	4700	257.6	562.21
48	4800	256.95	554.794
49	4900	256.3	547.457
50	5000	255.65	540.199
51	5100	255	533.019
52	5200	254.35	525.917
53	5300	253.7	518.891
54	5400	253.05	511.942
55	5500	252.4	505.068
56	5600	251.75	498.269
57	5700	251.1	491.545
58	5800	250.45	484.894
59	5900	249.8	478.316
60	6000	249.15	471.81
61	6100	248.5	465.377
62	6200	247.85	459.014
63	6300	247.2	452.723
64	6400	246.55	446.501
65	6500	245.9	440.348
66	6600	245.25	434.265
67	6700	244.6	428.25
68	6800	243.95	422.302
69	6900	243.3	416.422
70	7000	242.65	410.607
71	7100	242	404.859
72	7200	241.35	399.176
73	7300	240.7	393.558
74	7400	240.05	388.004
75	7500	239.4	382.514
76	7600	238.75	377.087
77	7700	238.1	371.722
78	7800	237.45	366.42
79	7900	236.8	361.178
80	8000	236.15	355.998
81	8100	235.5	350.878
82	8200	234.85	345.818
83	8300	234.2	340.817
84	8400	233.55	335.875
85	8500	232.9	330.99
86	8600	232.25	326.164
87	8700	231.6	321.395
88	8800	230.95	316.682
89	8900	230.3	312.026
90	9000	229.65	307.425
91	9100	229	302.879
92	9200	228.35	298.387
93	9300	227.7	293.95
94	9400	227.05	289.567
95	9500	226.4	285.236
