File	NOS_Chan1	NOGS_Chan1	MeanAdjNNR_Chan1	SNR_Chan1	NOS_Chan2	NOGS_Chan2	MeanAdjNNR_Chan2	SNR_Chan2	PointingAzi	PointingDep	SunAzimuth	SunZenith	SS1904	Juli	Time	DyOY	Year	Mont	DyOM	InTe	InHu	OuTe	OuHu	OuPr	WiSp	WiDi	CLat	CLon	CAlt	TLat	TLon	TAlt	GiAz	GiEl	DoAz	OPDi	FSSi	FoLe	LaFq	ABPr	ABst	ABen	DDis	ScSp	SaRt	ADGs	PAGs	LiSo	TaTy	TaNa	LINa	DTys	CoFl	ADSF	Max0	Min0	Mea0	Mod0	Sat0	Max1	Min1	Mea1	Mod1	Sat1	Max2	Min2	Mea2	Mod2	Sat2	Max3	Min3	Mea3	Mod3	Sat3	DeltaNu	SpecNP	iFirst	#First	iLast	#Last	IPP_OPD	SIVcut	IPPScale	LaShift
cl201907021349Spec.001	12	12	1.138732	313.4	12	12	0.776934	106.8	189.168005	21.506373	69.832955	78.539094	3644920191	3469.534618	13.830833	183	2019	7	2	0	0	65	25	831.20	7.38	271	34.2210	-118.0570	1673	34.2210	-118.0571	1673	-52.5316	34.2274	187.0936	52.0	3.030	304.80	15798.0137	5694	8.10	34.60	x.x/2.0/2.5/0.9	3.00	50000	0/0/0/0	99/7/6/2	 Sun	Spectralon	Spectralon	49424	xISL	Off	9.3132257E-9/9.3132257E-9/9.3132257E-9/9.3132257E-9	0.000000	0.000000	0.000000	NaN	0.000000	0.822190	0.136000	0.486685	0.718081	0.000000	0.199785	0.088005	0.144020	0.390236	0.000000	0.284417	-0.024934	0.129766	1.192156	0.000000	0.06026440	210739	49780	3000.000000	260519	15700.000000	5.000000	2500	0.001000	0
cl201907021412Font.002	12	12	1.098031	723.6	12	12	0.742951	208.6	105.157906	1.193170	72.946765	73.611238	3644921554	3469.550394	14.209444	183	2019	7	2	0	0	65	26	831.20	6.04	270	34.2210	-118.0570	1673	34.0695	-117.3900	340	31.1559	44.6414	105.5172	52.0	3.030	304.80	15798.0137	6438	8.10	34.60	x.x/2.0/2.5/0.9	3.00	50000	0/0/0/0	99/7/6/2	 Sun	Fontana	Fontana	51108	xISL	Off	9.3132257E-9/9.3132257E-9/9.3132257E-9/9.3132257E-9	0.000000	0.000000	0.000000	NaN	0.000000	1.584898	0.253725	0.934731	0.724086	0.000000	0.551818	0.240387	0.395878	0.393124	0.000000	0.284410	-0.024859	0.129893	1.191345	0.000000	0.06026440	210739	49780	3000.000000	260519	15700.000000	5.000000	2500	0.001000	0
cl201907021414Ranc.003	12	12	1.075103	606.0	12	12	0.738915	194.5	109.639516	1.648715	73.107487	73.352798	3644921679	3469.551840	14.244167	183	2019	7	2	0	0	65	26	831.20	5.59	277	34.2210	-118.0570	1673	34.0812	-117.5888	325	26.6915	44.4172	109.0640	52.0	3.030	304.80	15798.0137	6425	8.10	34.60	x.x/2.0/2.5/0.9	3.00	50000	0/0/0/0	99/7/6/2	 Sun	RanchoCucamunga	RanchoCucamunga	51234	xISL	Off	9.3132257E-9/9.3132257E-9/9.3132257E-9/9.3132257E-9	0.000000	0.000000	0.000000	NaN	0.000000	1.288547	0.205204	0.761487	0.725294	0.000000	0.487160	0.213829	0.350498	0.389927	0.000000	0.279361	-0.020385	0.129732	1.157430	0.000000	0.06026440	210739	49780	3000.000000	260519	15700.000000	5.000000	2500	0.001000	0
cl201907021416Rive.004	12	12	1.087040	552.9	12	12	0.741718	181.4	115.981770	1.172758	73.422788	72.814523	3644921806	3469.553310	14.279444	183	2019	7	2	0	0	65	26	831.20	6.71	280	34.2210	-118.0570	1673	33.9508	-117.3924	265	20.3736	44.6565	115.2709	52.0	3.030	304.80	15798.0137	6406	8.10	34.60	x.x/2.0/2.5/0.9	3.00	50000	0/0/0/0	99/7/6/2	 Sun	Riverside	Riverside	51360	xISL	Off	9.3132257E-9/9.3132257E-9/9.3132257E-9/9.3132257E-9	0.000000	0.000000	0.000000	NaN	0.000000	1.051607	0.174690	0.629218	0.715140	0.000000	0.439706	0.198202	0.318766	0.378587	0.000000	0.288768	-0.029035	0.129961	1.223413	0.000000	0.06026440	210739	49780	3000.000000	260519	15700.000000	5.000000	2500	0.001000	0
cl201907021418Lake.005	12	12	1.107256	463.2	12	12	0.740979	161.0	122.733898	1.028932	73.643709	72.436297	3644921932	3469.554769	14.314444	183	2019	7	2	0	0	65	26	831.20	4.92	276	34.2210	-118.0570	1673	33.8772	-117.4158	403	13.6474	44.7250	121.4778	52.0	3.030	304.80	15798.0137	6429	8.10	34.60	x.x/2.0/2.5/0.9	3.00	50000	0/0/0/0	99/7/6/2	 Sun	LakeMatt	LakeMatt	51487	xISL	Off	9.3132257E-9/9.3132257E-9/9.3132257E-9/9.3132257E-9	0.000000	0.000000	0.000000	NaN	0.000000	0.816089	0.140137	0.489818	0.706962	0.000000	0.369701	0.167436	0.268649	0.376561	0.000000	0.283741	-0.024767	0.129620	1.191038	0.000000	0.06026440	210739	49780	3000.000000	260519	15700.000000	5.000000	2500	0.001000	0
cl201907021420Norc.006	12	12	1.110030	479.4	12	12	0.743369	165.4	122.630100	1.638512	73.845901	72.122626	3644922057	3469.556215	14.349167	183	2019	7	2	0	0	65	26	831.20	4.25	283	34.2210	-118.0570	1673	33.9618	-117.5725	190	13.7508	44.4203	121.4778	52.0	3.030	304.80	15798.0137	6404	8.10	34.60	x.x/2.0/2.5/0.9	3.00	50000	0/0/0/0	99/7/6/2	 Sun	Norco	Norco	51611	xISL	Off	9.3132257E-9/9.3132257E-9/9.3132257E-9/9.3132257E-9	0.000000	0.000000	0.000000	NaN	0.000000	0.887926	0.150621	0.530182	0.710004	0.000000	0.388322	0.173937	0.280936	0.381293	0.000000	0.293175	-0.034433	0.129345	1.265958	0.000000	0.06026440	210739	49780	3000.000000	260519	15700.000000	5.000000	2500	0.001000	0
cl201907021423Pomo.007	12	12	1.117696	424.3	12	12	0.747798	156.9	122.829164	2.270565	74.050183	71.806404	3644922182	3469.557662	14.383889	183	2019	7	2	0	0	65	27	831.20	3.13	295	34.2210	-118.0570	1673	34.0434	-117.7246	253	13.5525	44.1041	121.4778	52.0	3.030	304.80	15798.0137	6415	8.10	34.60	x.x/2.0/2.5/0.9	3.00	50000	0/0/0/0	99/7/6/2	 Sun	Pomona	Pomona	51736	xISL	Off	9.3132257E-9/9.3132257E-9/9.3132257E-9/9.3132257E-9	0.000000	0.000000	0.000000	NaN	0.000000	0.814994	0.136230	0.487305	0.713605	0.000000	0.358933	0.160853	0.259781	0.381082	0.000000	0.284220	-0.024879	0.129707	1.191814	0.000000	0.06026440	210739	49780	3000.000000	260519	15700.000000	5.000000	2500	0.001000	0
cl201907021425210B.008	12	12	1.128466	328.3	12	12	0.758336	137.3	122.953040	4.057745	74.259875	71.481494	3644922308	3469.559120	14.418889	183	2019	7	2	0	0	65	26	831.20	2.91	278	34.2210	-118.0570	1673	34.1196	-117.8678	217	13.4291	43.2104	121.4778	52.0	3.030	304.80	15798.0137	6422	8.10	34.60	x.x/2.0/2.5/0.9	3.00	50000	0/0/0/0	99/7/6/2	 Sun	210Bend	210Bend	51862	xISL	Off	9.3132257E-9/9.3132257E-9/9.3132257E-9/9.3132257E-9	0.000000	0.000000	0.000000	NaN	0.000000	0.617628	0.095666	0.367487	0.731797	0.000000	0.266851	0.113372	0.190023	0.403659	0.000000	0.289002	-0.029668	0.129724	1.228721	0.000000	0.06026440	210739	49780	3000.000000	260519	15700.000000	5.000000	2500	0.001000	0
cl201907021427Spec.009	12	12	1.071706	387.3	12	12	0.743443	150.4	188.835127	21.364584	74.488640	71.133702	3644922450	3469.560764	14.458333	183	2019	7	2	0	0	65	27	831.20	2.46	312	34.2210	-118.0570	1673	34.2210	-118.0571	1673	-52.2000	34.3003	187.9803	52.0	3.030	304.80	15798.0137	6414	8.10	34.60	x.x/2.0/2.5/0.9	3.00	50000	0/0/0/0	99/7/6/2	 Sun	Spectralon	Spectralon	52004	xISL	Off	9.3132257E-9/9.3132257E-9/9.3132257E-9/9.3132257E-9	0.000000	0.000000	0.000000	NaN	0.000000	1.568380	0.264042	0.934436	0.711859	0.000000	0.373025	0.168333	0.270696	0.378102	0.000000	0.284135	-0.024875	0.129907	1.192017	0.000000	0.06026440	210739	49780	3000.000000	260519	15700.000000	5.000000	2500	0.001000	0
cl201907021429Coro.010	12	12	1.135447	369.7	12	12	0.754431	144.0	132.939889	1.399592	74.876387	70.389655	3644922592	3469.562407	14.497778	183	2019	7	2	0	0	66	27	831.30	3.13	288	34.2210	-118.0570	1673	33.8676	-117.6008	261	3.4806	44.5252	133.0049	52.0	3.030	304.80	15798.0137	6418	8.10	34.60	x.x/2.0/2.5/0.9	3.00	50000	0/0/0/0	99/7/6/2	 Sun	Corona	Corona	52147	xISL	Off	9.3132257E-9/9.3132257E-9/9.3132257E-9/9.3132257E-9	0.000000	0.000000	0.000000	NaN	0.000000	0.646956	0.113245	0.387871	0.702111	0.000000	0.310744	0.140415	0.225491	0.377537	0.000000	0.288232	-0.028989	0.129616	1.223377	0.000000	0.06026440	210739	49780	3000.000000	260519	15700.000000	5.000000	2500	0.001000	0
