File	NOS_Chan1	NOGS_Chan1	MeanAdjNNR_Chan1	SNR_Chan1	NOS_Chan2	NOGS_Chan2	MeanAdjNNR_Chan2	SNR_Chan2	PointingAzi	PointingDep	SunAzimuth	SunZenith	SS1904	Juli	Time	DyOY	Year	Mont	DyOM	InTe	InHu	OuTe	OuHu	OuPr	WiSp	WiDi	CLat	CLon	CAlt	TLat	TLon	TAlt	GiAz	GiEl	DoAz	OPDi	FSSi	FoLe	LaFq	ABPr	ABst	ABen	DDis	ScSp	SaRt	ADGs	PAGs	LiSo	TaTy	TaNa	LINa	DTys	CoFl	ADSF	Max0	Min0	Mea0	Mod0	Sat0	Max1	Min1	Mea1	Mod1	Sat1	Max2	Min2	Mea2	Mod2	Sat2	Max3	Min3	Mea3	Mod3	Sat3	DeltaNu	SpecNP	iFirst	#First	iLast	#Last	IPP_OPD	SIVcut	IPPScale	LaShift
cl201907041345Spec.001	12	12	1.133007	285.7	12	12	0.781230	96.6	188.835428	21.364180	69.365606	79.553892	3645092726	3471.531551	13.757222	185	2019	7	4	0	0	62	32	829.23	1.57	279	34.2210	-118.0570	1673	34.2210	-118.0571	1673	-52.2003	34.3005	187.9803	52.0	3.030	304.80	15798.0137	6349	8.10	34.60	x.x/2.0/2.5/0.9	3.00	50000	0/0/0/0	99/7/6/2	 Sun	Spectralon	Spectralon	49489	xISL	Off	9.3132257E-9/9.3132257E-9/9.3132257E-9/9.3132257E-9	0.000000	0.000000	0.000000	NaN	0.000000	0.750423	0.131472	0.446714	0.702009	0.000000	0.178317	0.081908	0.130068	0.370641	0.000000	0.273742	-0.021947	0.125954	1.174326	0.000000	0.06026440	210739	49780	3000.000000	260519	15700.000000	5.000000	2500	0.001000	0
cl201907041347Font.002	12	12	1.044713	917.0	12	12	0.727932	249.9	105.157906	1.192170	69.981389	78.620039	3645092871	3471.533229	13.797500	185	2019	7	4	0	0	62	32	829.23	1.57	335	34.2210	-118.0570	1673	34.0695	-117.3900	340	31.1559	44.6419	105.5172	52.0	3.030	304.80	15798.0137	6355	8.10	34.60	x.x/2.0/2.5/0.9	3.00	50000	0/0/0/0	99/7/6/2	 Sun	Fontana	Fontana	49634	xISL	Off	9.3132257E-9/9.3132257E-9/9.3132257E-9/9.3132257E-9	0.000000	0.000000	0.000000	NaN	0.000000	2.501040	0.399641	1.480828	0.724488	0.000000	0.774771	0.347339	0.561572	0.380916	0.000000	0.286632	-0.035249	0.125780	1.280254	0.000000	0.06026440	210739	49780	3000.000000	260519	15700.000000	5.000000	2500	0.001000	0
cl201907041349Ranc.003	12	12	1.079582	831.3	12	12	0.724922	233.9	109.639717	1.647315	70.147709	78.362166	3645092997	3471.534688	13.832500	185	2019	7	4	0	0	62	31	829.23	3.13	284	34.2210	-118.0570	1673	34.0812	-117.5888	325	26.6913	44.4179	108.1773	52.0	3.030	304.80	15798.0137	6354	8.10	34.60	x.x/2.0/2.5/0.9	3.00	50000	0/0/0/0	99/7/6/2	 Sun	RanchoCucamunga	RanchoCucamunga	49760	xISL	Off	9.3132257E-9/9.3132257E-9/9.3132257E-9/9.3132257E-9	0.000000	0.000000	0.000000	NaN	0.000000	2.387767	0.419834	1.422512	0.700966	0.000000	0.772696	0.360383	0.566462	0.363888	0.000000	0.282378	-0.031357	0.125568	1.249706	0.000000	0.06026440	210739	49780	3000.000000	260519	15700.000000	5.000000	2500	0.001000	0
cl201907041352Rive.004	12	12	1.062543	737.7	12	12	0.731214	210.5	115.981770	1.181758	70.483041	77.843195	3645093123	3471.536146	13.867500	185	2019	7	4	0	0	61	30	829.23	2.91	266	34.2210	-118.0570	1673	33.9508	-117.3924	265	20.3736	44.6520	114.3842	52.0	3.030	304.80	15798.0137	6368	8.10	34.60	x.x/2.0/2.5/0.9	3.00	50000	0/0/0/0	99/7/6/2	 Sun	Riverside	Riverside	49887	xISL	Off	9.3132257E-9/9.3132257E-9/9.3132257E-9/9.3132257E-9	0.000000	0.000000	0.000000	NaN	0.000000	1.804246	0.311651	1.077899	0.705458	0.000000	0.624586	0.290423	0.457832	0.365204	0.000000	0.277945	-0.027027	0.125573	1.215581	0.000000	0.06026440	210739	49780	3000.000000	260519	15700.000000	5.000000	2500	0.001000	0
cl201907041354Lake.005	12	12	1.083269	634.8	12	12	0.735913	193.7	122.731288	1.018737	70.719611	77.471858	3645093250	3471.537616	13.902778	185	2019	7	4	0	0	61	31	829.23	3.80	264	34.2210	-118.0570	1673	33.8772	-117.4158	403	13.6500	44.7301	121.4778	52.0	3.030	304.80	15798.0137	6355	8.10	34.60	x.x/2.0/2.5/0.9	3.00	50000	0/0/0/0	99/7/6/2	 Sun	LakeMatt	LakeMatt	50013	xISL	Off	9.3132257E-9/9.3132257E-9/9.3132257E-9/9.3132257E-9	0.000000	0.000000	0.000000	NaN	0.000000	1.426342	0.242513	0.852293	0.709381	0.000000	0.518124	0.239193	0.378535	0.368315	0.000000	0.278314	-0.026141	0.126022	1.207140	0.000000	0.06026440	210739	49780	3000.000000	260519	15700.000000	5.000000	2500	0.001000	0
cl201907041356Norc.006	12	12	1.086993	655.3	12	12	0.735178	196.5	122.629999	1.679712	70.916451	77.162056	3645093374	3471.539051	13.937222	185	2019	7	4	0	0	61	30	829.23	2.46	303	34.2210	-118.0570	1673	33.9618	-117.5725	190	13.7509	44.3997	121.4778	52.0	3.030	304.80	15798.0137	6365	8.10	34.60	x.x/2.0/2.5/0.9	3.00	50000	0/0/0/0	99/7/6/2	 Sun	Norco	Norco	50138	xISL	Off	9.3132257E-9/9.3132257E-9/9.3132257E-9/9.3132257E-9	0.000000	0.000000	0.000000	NaN	0.000000	1.555402	0.263279	0.929951	0.710502	0.000000	0.546092	0.252212	0.399135	0.368129	0.000000	0.282629	-0.030757	0.126102	1.244241	0.000000	0.06026440	210739	49780	3000.000000	260519	15700.000000	5.000000	2500	0.001000	0
cl201907041358Pomo.007	12	12	1.093510	651.0	12	12	0.737499	195.8	122.821434	2.285779	71.115528	76.849827	3645093498	3471.540486	13.971667	185	2019	7	4	0	0	62	30	829.23	1.57	16	34.2210	-118.0570	1673	34.0434	-117.7246	253	13.5602	44.0965	121.4778	52.0	3.030	304.80	15798.0137	6369	8.10	34.60	x.x/2.0/2.5/0.9	3.00	50000	0/0/0/0	99/7/6/2	 Sun	Pomona	Pomona	50262	xISL	Off	9.3132257E-9/9.3132257E-9/9.3132257E-9/9.3132257E-9	0.000000	0.000000	0.000000	NaN	0.000000	1.671903	0.283774	0.997043	0.709840	0.000000	0.558863	0.257157	0.408073	0.369731	0.000000	0.278604	-0.026383	0.126201	1.209463	0.000000	0.06026440	210739	49780	3000.000000	260519	15700.000000	5.000000	2500	0.001000	0
cl201907041400210B.008	12	12	1.092141	612.9	12	12	0.740241	190.4	122.969302	4.080916	71.322538	76.526022	3645093624	3471.541944	14.006667	185	2019	7	4	0	0	62	29	829.23	1.57	9	34.2210	-118.0570	1673	34.1196	-117.8678	217	13.4129	43.1988	121.4778	52.0	3.030	304.80	15798.0137	6340	8.10	34.60	x.x/2.0/2.5/0.9	3.00	50000	0/0/0/0	99/7/6/2	 Sun	210Bend	210Bend	50388	xISL	Off	9.3132257E-9/9.3132257E-9/9.3132257E-9/9.3132257E-9	0.000000	0.000000	0.000000	NaN	0.000000	1.745402	0.299580	1.042512	0.707048	0.000000	0.544719	0.252271	0.398567	0.366939	0.000000	0.278421	-0.025912	0.126343	1.205176	0.000000	0.06026440	210739	49780	3000.000000	260519	15700.000000	5.000000	2500	0.001000	0
cl201907041402Spec.009	12	12	1.093367	335.9	12	12	0.762842	120.9	188.835428	21.364780	71.548297	76.175020	3645093767	3471.543600	14.046389	185	2019	7	4	0	0	63	29	829.23	1.34	282	34.2210	-118.0570	1673	34.2210	-118.0571	1673	-52.2003	34.3002	187.0936	52.0	3.030	304.80	15798.0137	6353	8.10	34.60	x.x/2.0/2.5/0.9	3.00	50000	0/0/0/0	99/7/6/2	 Sun	Spectralon	Spectralon	50530	xISL	Off	9.3132257E-9/9.3132257E-9/9.3132257E-9/9.3132257E-9	0.000000	0.000000	0.000000	NaN	0.000000	1.108547	0.193782	0.661590	0.702513	0.000000	0.259840	0.120007	0.189876	0.368127	0.000000	0.283449	-0.030894	0.126424	1.244578	0.000000	0.06026440	210739	49780	3000.000000	260519	15700.000000	5.000000	2500	0.001000	0
cl201907041405Coro.010	12	12	1.091897	550.0	12	12	0.738557	169.8	132.940190	1.399191	71.981570	75.460986	3645093909	3471.545243	14.085833	185	2019	7	4	0	0	63	28	829.23	1.34	207	34.2210	-118.0570	1673	33.8676	-117.6008	261	3.4803	44.5254	133.8916	52.0	3.030	304.80	15798.0137	6368	8.10	34.60	x.x/2.0/2.5/0.9	3.00	50000	0/0/0/0	99/7/6/2	 Sun	Corona	Corona	50673	xISL	Off	9.3132257E-9/9.3132257E-9/9.3132257E-9/9.3132257E-9	0.000000	0.000000	0.000000	NaN	0.000000	1.199680	0.213981	0.720675	0.697326	0.000000	0.448281	0.210367	0.329067	0.361218	0.000000	0.287471	-0.036545	0.125811	1.291652	0.000000	0.06026440	210739	49780	3000.000000	260519	15700.000000	5.000000	2500	0.001000	0
