File	NOS_Chan1	NOGS_Chan1	MeanAdjNNR_Chan1	SNR_Chan1	NOS_Chan2	NOGS_Chan2	MeanAdjNNR_Chan2	SNR_Chan2	PointingAzi	PointingDep	SunAzimuth	SunZenith	SS1904	Juli	Time	DyOY	Year	Mont	DyOM	InTe	InHu	OuTe	OuHu	OuPr	WiSp	WiDi	CLat	CLon	CAlt	TLat	TLon	TAlt	GiAz	GiEl	DoAz	OPDi	FSSi	FoLe	LaFq	ABPr	ABst	ABen	DDis	ScSp	SaRt	ADGs	PAGs	LiSo	TaTy	TaNa	LINa	DTys	CoFl	ADSF	Max0	Min0	Mea0	Mod0	Sat0	Max1	Min1	Mea1	Mod1	Sat1	Max2	Min2	Mea2	Mod2	Sat2	Max3	Min3	Mea3	Mod3	Sat3	DeltaNu	SpecNP	iFirst	#First	iLast	#Last	IPP_OPD	SIVcut	IPPScale	LaShift
cl201907151503Ange.001	12	12	1.140213	427.8	12	12	0.758095	135.8	160.999739	1.873704	80.012639	64.903082	3646047823	3482.585914	15.061944	196	2019	7	15	0	0	59	23	830.42	3.80	258	34.2210	-118.0570	1673	33.8002	-117.8827	47	-24.4715	44.1954	159.6059	52.0	3.030	304.80	15798.0137	4993	8.10	34.60	x.x/2.0/2.5/0.9	3.00	50000	0/0/0/0	99/7/6/2	 Sun	AngelsStadium	AngelsStadium	54170	xISL	Off	9.3132257E-9/9.3132257E-9/9.3132257E-9/9.3132257E-9	0.000000	0.000000	0.000000	NaN	0.000000	0.682265	0.114690	0.406514	0.712221	0.000000	0.283961	0.127966	0.205855	0.378699	0.000000	0.295634	-0.021547	0.137145	1.157302	0.000000	0.06026440	210739	49780	3000.000000	260519	15700.000000	5.000000	2500	0.001000	0
cl201907151506Spec.002	12	12	1.069561	409.6	12	12	0.737168	177.2	188.835428	21.365180	80.404184	64.507826	3646047960	3482.587500	15.100000	196	2019	7	15	0	0	59	23	830.42	3.80	258	34.2210	-118.0570	1673	34.2210	-118.0571	1673	-52.2003	34.3000	187.0936	52.0	3.030	304.80	15798.0137	4980	8.10	34.60	x.x/2.0/2.5/0.9	3.00	50000	0/0/0/0	99/7/6/2	 Sun	Spectralon	Spectralon	54308	xISL	Off	9.3132257E-9/9.3132257E-9/9.3132257E-9/9.3132257E-9	0.000000	0.000000	0.000000	NaN	0.000000	2.272824	0.390048	1.347545	0.707066	0.000000	0.520139	0.237730	0.379014	0.372636	0.000000	0.300335	-0.025943	0.137227	1.188868	0.000000	0.06026440	210739	49780	3000.000000	260519	15700.000000	5.000000	2500	0.001000	0
cl201907151508Hunt.003	12	12	1.132497	427.1	12	12	0.760542	134.6	172.197940	1.700435	80.489183	64.056650	3646048097	3482.589086	15.138056	196	2019	7	15	0	0	59	23	830.42	3.80	258	34.2210	-118.0570	1673	33.7224	-117.9749	12	-35.6267	44.2270	172.9064	52.0	3.030	304.80	15798.0137	4984	8.10	34.60	x.x/2.0/2.5/0.9	3.00	50000	0/0/0/0	99/7/6/2	 Sun	HuntinghtonBeach	HuntinghtonBeach	54444	xISL	Off	9.3132257E-9/9.3132257E-9/9.3132257E-9/9.3132257E-9	0.000000	0.000000	0.000000	NaN	0.000000	0.676770	0.117218	0.403477	0.704756	0.000000	0.273232	0.123519	0.198361	0.377347	0.000000	0.295763	-0.021019	0.137435	1.152927	0.000000	0.06026440	210739	49780	3000.000000	260519	15700.000000	5.000000	2500	0.001000	0
cl201907151510LaMi.004	12	12	1.162200	300.3	12	12	0.775030	111.6	172.332557	2.695013	80.818363	63.628184	3646048221	3482.590521	15.172500	196	2019	7	15	0	0	59	23	830.42	3.80	258	34.2210	-118.0570	1673	33.9099	-118.0059	57	-35.7608	43.7290	172.9064	52.0	3.030	304.80	15798.0137	4978	8.10	34.60	x.x/2.0/2.5/0.9	3.00	50000	0/0/0/0	99/7/6/2	 Sun	LaMirada	LaMirada	54569	xISL	Off	9.3132257E-9/9.3132257E-9/9.3132257E-9/9.3132257E-9	0.000000	0.000000	0.000000	NaN	0.000000	0.480378	0.084918	0.290379	0.699574	0.000000	0.214810	0.098105	0.156441	0.372959	0.000000	0.300732	-0.025667	0.137612	1.186160	0.000000	0.06026440	210739	49780	3000.000000	260519	15700.000000	5.000000	2500	0.001000	0
cl201907151512605a.005	12	12	1.179256	252.6	12	12	0.777552	106.9	172.055292	4.282939	81.125257	63.198897	3646048346	3482.591968	15.207222	196	2019	7	15	0	0	59	23	830.42	3.80	258	34.2210	-118.0570	1673	34.0297	-118.0254	77	-35.4846	42.9365	172.9064	52.0	3.030	304.80	15798.0137	4985	8.10	34.60	x.x/2.0/2.5/0.9	3.00	50000	0/0/0/0	99/7/6/2	 Sun	605and60	605and60	54694	xISL	Off	9.3132257E-9/9.3132257E-9/9.3132257E-9/9.3132257E-9	0.000000	0.000000	0.000000	NaN	0.000000	0.425160	0.078283	0.257710	0.689040	0.000000	0.201439	0.092017	0.146626	0.372874	0.000000	0.296475	-0.020963	0.137911	1.152272	0.000000	0.06026440	210739	49780	3000.000000	260519	15700.000000	5.000000	2500	0.001000	0
cl201907151514Sant.006	12	12	1.152039	287.2	12	12	0.778711	102.3	171.052241	9.492446	81.440266	62.755567	3646048475	3482.593461	15.243056	196	2019	7	15	0	0	59	23	830.42	3.80	258	34.2210	-118.0570	1673	34.1410	-118.0418	155	-34.4854	40.3370	172.0197	52.0	3.030	304.80	15798.0137	4987	8.10	34.60	x.x/2.0/2.5/0.9	3.00	50000	0/0/0/0	99/7/6/2	 Sun	SantaAnitaRace	SantaAnitaRace	54822	xISL	Off	9.3132257E-9/9.3132257E-9/9.3132257E-9/9.3132257E-9	0.000000	0.000000	0.000000	NaN	0.000000	0.546971	0.098420	0.329287	0.695051	0.000000	0.195114	0.089731	0.142456	0.369964	0.000000	0.291424	-0.016535	0.137650	1.120311	0.000000	0.06026440	210739	49780	3000.000000	260519	15700.000000	5.000000	2500	0.001000	0
cl201907151516Long.007	12	12	1.146741	404.3	12	12	0.778254	129.8	196.032665	2.046014	81.472867	62.478177	3646048607	3482.594988	15.279722	196	2019	7	15	0	0	59	23	830.42	3.80	258	34.2210	-118.0570	1673	33.8211	-118.1954	11	-59.3699	43.9156	195.0739	52.0	3.030	304.80	15798.0137	4989	8.10	34.60	x.x/2.0/2.5/0.9	3.00	50000	0/0/0/0	99/7/6/2	 Sun	LongBeach405	LongBeach405	54955	xISL	Off	9.3132257E-9/9.3132257E-9/9.3132257E-9/9.3132257E-9	0.000000	0.000000	0.000000	NaN	0.000000	0.652287	0.110976	0.389993	0.709246	0.000000	0.257105	0.116617	0.186836	0.375917	0.000000	0.300934	-0.026143	0.137418	1.190168	0.000000	0.06026440	210739	49780	3000.000000	260519	15700.000000	5.000000	2500	0.001000	0
cl201907151518Down.008	12	12	1.169216	308.2	12	12	0.833938	109.3	195.915014	2.828470	81.805671	62.003668	3646048732	3482.596435	15.314444	196	2019	7	15	0	0	59	23	830.42	3.80	258	34.2210	-118.0570	1673	33.9301	-118.1577	30	-59.2527	43.5251	195.0739	52.0	3.030	304.80	15798.0137	4976	8.10	34.60	x.x/2.0/2.5/0.9	3.00	50000	0/0/0/0	99/7/6/2	 Sun	Downey	Downey	55080	xISL	Off	9.3132257E-9/9.3132257E-9/9.3132257E-9/9.3132257E-9	0.000000	0.000000	0.000000	NaN	0.000000	0.483285	0.085798	0.291683	0.698524	0.000000	0.208339	0.095770	0.152079	0.370161	0.000000	0.297046	-0.022272	0.137526	1.162304	0.000000	0.06026440	210739	49780	3000.000000	260519	15700.000000	5.000000	2500	0.001000	0
cl201907151520ELAw.009	12	12	1.163390	294.6	12	12	0.793822	103.2	195.746466	4.544354	82.150074	61.522232	3646048858	3482.597894	15.349444	196	2019	7	15	0	0	59	23	830.42	3.80	258	34.2210	-118.0570	1673	34.0480	-118.1162	128	-59.0848	42.6682	195.0739	52.0	3.030	304.80	15798.0137	4973	8.10	34.60	x.x/2.0/2.5/0.9	3.00	50000	0/0/0/0	99/7/6/2	 Sun	ELAwater	ELAwater	55205	xISL	Off	9.3132257E-9/9.3132257E-9/9.3132257E-9/9.3132257E-9	0.000000	0.000000	0.000000	NaN	0.000000	0.489953	0.086601	0.296478	0.699623	0.000000	0.195826	0.090306	0.143005	0.368780	0.000000	0.301770	-0.026664	0.137568	1.193973	0.000000	0.06026440	210739	49780	3000.000000	260519	15700.000000	5.000000	2500	0.001000	0
cl201907151523Spec.010	12	12	1.061997	400.6	12	9	0.814371	164.7	188.828200	21.355667	82.584976	60.941592	3646049007	3482.599618	15.390833	196	2019	7	15	0	0	59	23	830.42	3.80	258	34.2210	-118.0570	1673	34.2210	-118.0571	1673	-52.1931	34.3048	189.7537	52.0	3.030	304.80	15798.0137	4980	8.10	34.60	x.x/2.0/2.5/0.9	3.00	50000	0/0/0/0	99/7/6/2	 Sun	Spectralon	Spectralon	55339	xISL	Off	9.3132257E-9/9.3132257E-9/9.3132257E-9/9.3132257E-9	0.000000	0.000000	0.000000	NaN	0.000000	2.634568	0.450530	1.564645	0.707997	0.000000	0.598405	0.274096	0.435911	0.371701	0.000000	0.291143	-0.017192	0.137227	1.125512	0.000000	0.06026440	210739	49780	3000.000000	260519	15700.000000	5.000000	2500	0.001000	0
