File	NOS_Chan1	NOGS_Chan1	MeanAdjNNR_Chan1	SNR_Chan1	NOS_Chan2	NOGS_Chan2	MeanAdjNNR_Chan2	SNR_Chan2	PointingAzi	PointingDep	SunAzimuth	SunZenith	SS1904	Juli	Time	DyOY	Year	Mont	DyOM	InTe	InHu	OuTe	OuHu	OuPr	WiSp	WiDi	CLat	CLon	CAlt	TLat	TLon	TAlt	GiAz	GiEl	DoAz	OPDi	FSSi	FoLe	LaFq	ABPr	ABst	ABen	DDis	ScSp	SaRt	ADGs	PAGs	LiSo	TaTy	TaNa	LINa	DTys	CoFl	ADSF	Max0	Min0	Mea0	Mod0	Sat0	Max1	Min1	Mea1	Mod1	Sat1	Max2	Min2	Mea2	Mod2	Sat2	Max3	Min3	Mea3	Mod3	Sat3	DeltaNu	SpecNP	iFirst	#First	iLast	#Last	IPP_OPD	SIVcut	IPPScale	LaShift
cl201907082126Spec.001	12	12	1.123105	517.6	12	10	0.899832	244.8	188.835227	21.363783	244.608093	22.757178	3645465971	3475.851516	21.436389	189	2019	7	8	0	0	59	23	830.42	3.80	258	34.2210	-118.0570	1673	34.2210	-118.0571	1673	-52.2001	34.3007	187.0936	52.0	3.030	304.80	15798.0137	6292	8.10	34.60	x.x/2.0/2.5/0.9	3.00	50000	0/0/0/0	99/7/6/2	 Sun	Spectralon	Spectralon	77111	xISL	Off	9.3132257E-9/9.3132257E-9/9.3132257E-9/9.3132257E-9	0.000000	0.000000	0.000000	NaN	0.000000	5.400039	0.936118	3.212462	0.704562	0.000000	1.271296	0.596501	0.933970	0.361277	0.000000	0.274450	-0.025619	0.124577	1.205746	0.000000	0.06026440	210739	49780	3000.000000	260519	15700.000000	5.000000	2500	0.001000	0
cl201907082128Font.002	12	12	1.153106	338.8	12	12	0.788404	114.2	105.157605	1.192569	246.732017	23.697615	3645466130	3475.853356	21.480556	189	2019	7	8	0	0	59	23	830.42	3.80	258	34.2210	-118.0570	1673	34.0695	-117.3900	340	31.1562	44.6417	106.4039	52.0	3.030	304.80	15798.0137	6287	8.10	34.60	x.x/2.0/2.5/0.9	3.00	50000	0/0/0/0	99/7/6/2	 Sun	Fontana	Fontana	77277	xISL	Off	9.3132257E-9/9.3132257E-9/9.3132257E-9/9.3132257E-9	0.000000	0.000000	0.000000	NaN	0.000000	0.578303	0.110164	0.352921	0.680007	0.000000	0.227317	0.105763	0.166599	0.364938	0.000000	0.268845	-0.020541	0.124151	1.165460	0.000000	0.06026440	210739	49780	3000.000000	260519	15700.000000	5.000000	2500	0.001000	0
cl201907082130Ranc.003	12	12	1.155879	324.2	12	12	0.796605	115.3	109.639014	1.651714	247.129767	23.950849	3645466256	3475.854815	21.515556	189	2019	7	8	0	0	59	23	830.42	3.80	258	34.2210	-118.0570	1673	34.0812	-117.5888	325	26.6920	44.4157	109.0640	52.0	3.030	304.80	15798.0137	6308	8.10	34.60	x.x/2.0/2.5/0.9	3.00	50000	0/0/0/0	99/7/6/2	 Sun	RanchoCucamunga	RanchoCucamunga	77402	xISL	Off	9.3132257E-9/9.3132257E-9/9.3132257E-9/9.3132257E-9	0.000000	0.000000	0.000000	NaN	0.000000	0.540877	0.095990	0.326953	0.698587	0.000000	0.231387	0.107646	0.169446	0.364984	0.000000	0.273161	-0.025118	0.124070	1.202530	0.000000	0.06026440	210739	49780	3000.000000	260519	15700.000000	5.000000	2500	0.001000	0
cl201907082133Rive.004	12	12	1.154318	354.9	12	11	0.822530	112.1	115.978658	1.182359	248.310954	24.457995	3645466383	3475.856285	21.550833	189	2019	7	8	0	0	59	23	830.42	3.80	258	34.2210	-118.0570	1673	33.9508	-117.3924	265	20.3767	44.6517	114.3842	52.0	3.030	304.80	15798.0137	6305	8.10	34.60	x.x/2.0/2.5/0.9	3.00	50000	0/0/0/0	99/7/6/2	 Sun	Riverside	Riverside	77529	xISL	Off	9.3132257E-9/9.3132257E-9/9.3132257E-9/9.3132257E-9	0.000000	0.000000	0.000000	NaN	0.000000	0.554759	0.097494	0.335101	0.701101	0.000000	0.238823	0.111050	0.174839	0.365199	0.000000	0.267872	-0.020711	0.123807	1.167601	0.000000	0.06026440	210739	49780	3000.000000	260519	15700.000000	5.000000	2500	0.001000	0
cl201907082135Lake.005	12	12	1.144624	380.7	12	12	0.762192	117.5	122.733898	1.038132	249.069767	24.819122	3645466509	3475.857743	21.585833	189	2019	7	8	0	0	59	23	830.42	3.80	258	34.2210	-118.0570	1673	33.8772	-117.4158	403	13.6474	44.7204	120.5911	52.0	3.030	304.80	15798.0137	6313	8.10	34.60	x.x/2.0/2.5/0.9	3.00	50000	0/0/0/0	99/7/6/2	 Sun	LakeMatt	LakeMatt	77656	xISL	Off	9.3132257E-9/9.3132257E-9/9.3132257E-9/9.3132257E-9	0.000000	0.000000	0.000000	NaN	0.000000	0.573549	0.099498	0.346833	0.704367	0.000000	0.239549	0.111563	0.175723	0.364519	0.000000	0.267358	-0.020147	0.123618	1.163003	0.000000	0.06026440	210739	49780	3000.000000	260519	15700.000000	5.000000	2500	0.001000	0
cl201907082137Norc.006	12	12	1.145091	355.2	12	12	0.769025	115.9	122.620463	1.647529	249.333142	25.131706	3645466634	3475.859190	21.620556	189	2019	7	8	0	0	59	23	830.42	3.80	258	34.2210	-118.0570	1673	33.9618	-117.5725	190	13.7604	44.4158	120.5911	52.0	3.030	304.80	15798.0137	6295	8.10	34.60	x.x/2.0/2.5/0.9	3.00	50000	0/0/0/0	99/7/6/2	 Sun	Norco	Norco	77781	xISL	Off	9.3132257E-9/9.3132257E-9/9.3132257E-9/9.3132257E-9	0.000000	0.000000	0.000000	NaN	0.000000	0.567474	0.099113	0.342616	0.702643	0.000000	0.236656	0.109871	0.173265	0.365871	0.000000	0.267188	-0.020459	0.123550	1.165855	0.000000	0.06026440	210739	49780	3000.000000	260519	15700.000000	5.000000	2500	0.001000	0
cl201907082139Pomo.007	12	12	1.150572	308.3	12	12	0.766499	115.5	122.820531	2.304580	249.599267	25.443411	3645466758	3475.860625	21.655000	189	2019	7	8	0	0	59	23	830.42	3.80	258	34.2210	-118.0570	1673	34.0434	-117.7246	253	13.5611	44.0871	120.5911	52.0	3.030	304.80	15798.0137	6316	8.10	34.60	x.x/2.0/2.5/0.9	3.00	50000	0/0/0/0	99/7/6/2	 Sun	Pomona	Pomona	77905	xISL	Off	9.3132257E-9/9.3132257E-9/9.3132257E-9/9.3132257E-9	0.000000	0.000000	0.000000	NaN	0.000000	0.541683	0.097542	0.328908	0.694822	0.000000	0.235032	0.109515	0.172138	0.364299	0.000000	0.267522	-0.020198	0.123689	1.163346	0.000000	0.06026440	210739	49780	3000.000000	260519	15700.000000	5.000000	2500	0.001000	0
cl201907082141210B.008	12	12	1.155069	303.5	12	12	0.768827	113.9	122.845226	3.991937	249.896892	25.769765	3645466885	3475.862095	21.690278	189	2019	7	8	0	0	59	23	830.42	3.80	258	34.2210	-118.0570	1673	34.1196	-117.8678	217	13.5365	43.2434	121.4778	52.0	3.030	304.80	15798.0137	6292	8.10	34.60	x.x/2.0/2.5/0.9	3.00	50000	0/0/0/0	99/7/6/2	 Sun	210Bend	210Bend	78032	xISL	Off	9.3132257E-9/9.3132257E-9/9.3132257E-9/9.3132257E-9	0.000000	0.000000	0.000000	NaN	0.000000	0.561416	0.093532	0.337008	0.714401	0.000000	0.227251	0.102645	0.164813	0.377713	0.000000	0.267391	-0.020313	0.123627	1.164436	0.000000	0.06026440	210739	49780	3000.000000	260519	15700.000000	5.000000	2500	0.001000	0
cl201907082143Spec.009	12	12	1.037134	528.0	12	12	0.722315	266.6	188.835127	21.364784	250.160261	26.117349	3645467027	3475.863738	21.729722	189	2019	7	8	0	0	59	23	830.42	3.80	258	34.2210	-118.0570	1673	34.2210	-118.0571	1673	-52.2000	34.3002	187.0936	52.0	3.030	304.80	15798.0137	6195	8.10	34.60	x.x/2.0/2.5/0.9	3.00	50000	0/0/0/0	99/7/6/2	 Sun	Spectralon	Spectralon	78174	xISL	Off	9.3132257E-9/9.3132257E-9/9.3132257E-9/9.3132257E-9	0.000000	0.000000	0.000000	NaN	0.000000	5.224299	0.901126	3.112457	0.705796	0.000000	1.238311	0.580780	0.909408	0.361463	0.000000	0.267109	-0.020400	0.123508	1.165388	0.000000	0.06026440	210739	49780	3000.000000	260519	15700.000000	5.000000	2500	0.001000	0
cl201907082208Coro.010	12	12	1.150228	337.6	12	12	0.766285	114.7	132.940090	1.401391	257.232080	31.228258	3645468489	3475.880660	22.135833	189	2019	7	8	0	0	59	23	830.42	3.80	258	34.2210	-118.0570	1673	33.8676	-117.6008	261	3.4804	44.5243	133.0049	52.0	3.030	304.80	15798.0137	5249	8.10	34.60	x.x/2.0/2.5/0.9	3.00	50000	0/0/0/0	99/7/6/2	 Sun	Corona	Corona	78316	xISL	Off	9.3132257E-9/9.3132257E-9/9.3132257E-9/9.3132257E-9	0.000000	0.000000	0.000000	NaN	0.000000	0.559130	0.100508	0.338852	0.695294	0.000000	0.233574	0.110054	0.171923	0.359422	0.000000	0.265988	-0.020413	0.122785	1.166262	0.000000	0.06026440	210739	49780	3000.000000	260519	15700.000000	5.000000	2500	0.001000	0
