File	NOS_Chan1	NOGS_Chan1	MeanAdjNNR_Chan1	SNR_Chan1	NOS_Chan2	NOGS_Chan2	MeanAdjNNR_Chan2	SNR_Chan2	PointingAzi	PointingDep	SunAzimuth	SunZenith	SS1904	Juli	Time	DyOY	Year	Mont	DyOM	InTe	InHu	OuTe	OuHu	OuPr	WiSp	WiDi	CLat	CLon	CAlt	TLat	TLon	TAlt	GiAz	GiEl	DoAz	OPDi	FSSi	FoLe	LaFq	ABPr	ABst	ABen	DDis	ScSp	SaRt	ADGs	PAGs	LiSo	TaTy	TaNa	LINa	DTys	CoFl	ADSF	Max0	Min0	Mea0	Mod0	Sat0	Max1	Min1	Mea1	Mod1	Sat1	Max2	Min2	Mea2	Mod2	Sat2	Max3	Min3	Mea3	Mod3	Sat3	DeltaNu	SpecNP	iFirst	#First	iLast	#Last	IPP_OPD	SIVcut	IPPScale	LaShift
cl201907051723Spec.001	11	11	1.078369	347.2	11	11	0.716380	239.9	188.835729	21.366977	98.711083	35.269653	3645192232	3472.683241	17.397778	186	2019	7	5	0	0	72	43	832.92	2.24	96	34.2210	-118.0570	1673	34.2210	-118.0571	1673	-52.2006	34.2991	189.7537	52.0	3.030	304.80	15798.0137	6325	8.10	34.60	x.x/2.0/2.5/0.9	3.00	50000	0/0/0/0	99/7/6/2	 Sun	Spectralon	Spectralon	62592	xISL	Off	9.3132257E-9/9.3132257E-9/9.3132257E-9/9.3132257E-9	0.000000	0.000000	0.000000	NaN	0.000000	4.992263	0.854039	2.961462	0.707870	0.000000	1.077531	0.496050	0.786868	0.369528	0.000000	0.300478	-0.027262	0.136850	1.199551	0.000000	0.06026440	210739	49780	3000.000000	260519	15700.000000	5.000000	2500	0.001000	0
cl201907051726Font.002	12	12	1.087676	526.7	12	12	0.734932	188.9	105.157605	1.191769	99.429550	34.227335	3645192371	3472.684850	17.436389	186	2019	7	5	0	0	72	42	832.92	3.13	93	34.2210	-118.0570	1673	34.0695	-117.3900	340	31.1562	44.6421	106.4039	52.0	3.030	304.80	15798.0137	6343	8.10	34.60	x.x/2.0/2.5/0.9	3.00	50000	0/0/0/0	99/7/6/2	 Sun	Fontana	Fontana	62738	xISL	Off	9.3132257E-9/9.3132257E-9/9.3132257E-9/9.3132257E-9	0.000000	0.000000	0.000000	NaN	0.000000	1.209109	0.205560	0.723474	0.709408	0.000000	0.515068	0.228570	0.371754	0.385267	0.000000	0.294254	-0.021744	0.136484	1.159637	0.000000	0.06026440	210739	49780	3000.000000	260519	15700.000000	5.000000	2500	0.001000	0
cl201907051728Ranc.003	12	12	1.087220	537.8	12	12	0.735826	183.7	109.638311	1.646313	99.695843	33.962948	3645192497	3472.686308	17.471389	186	2019	7	5	0	0	74	42	832.92	2.01	99	34.2210	-118.0570	1673	34.0812	-117.5888	325	26.6927	44.4184	109.0640	52.0	3.030	304.80	15798.0137	6331	8.10	34.60	x.x/2.0/2.5/0.9	3.00	50000	0/0/0/0	99/7/6/2	 Sun	RanchoCucamunga	RanchoCucamunga	62863	xISL	Off	9.3132257E-9/9.3132257E-9/9.3132257E-9/9.3132257E-9	0.000000	0.000000	0.000000	NaN	0.000000	1.246623	0.212602	0.747434	0.708658	0.000000	0.520107	0.237413	0.378816	0.373184	0.000000	0.290389	-0.016908	0.136712	1.123658	0.000000	0.06026440	210739	49780	3000.000000	260519	15700.000000	5.000000	2500	0.001000	0
cl201907051730Rive.004	12	12	1.085410	524.2	12	12	0.735425	183.4	115.979361	1.191359	100.060715	33.351586	3645192623	3472.687766	17.506389	186	2019	7	5	0	0	73	42	832.96	3.36	106	34.2210	-118.0570	1673	33.9508	-117.3924	265	20.3760	44.6472	114.3842	52.0	3.030	304.80	15798.0137	6330	8.10	34.60	x.x/2.0/2.5/0.9	3.00	50000	0/0/0/0	99/7/6/2	 Sun	Riverside	Riverside	62990	xISL	Off	9.3132257E-9/9.3132257E-9/9.3132257E-9/9.3132257E-9	0.000000	0.000000	0.000000	NaN	0.000000	1.075675	0.188222	0.648071	0.702221	0.000000	0.493296	0.226160	0.359326	0.371308	0.000000	0.290167	-0.017202	0.136682	1.126044	0.000000	0.06026440	210739	49780	3000.000000	260519	15700.000000	5.000000	2500	0.001000	0
cl201907051732Lake.005	12	12	1.102572	503.9	12	12	0.746464	182.2	122.731288	1.023737	100.346021	32.925562	3645192750	3472.689236	17.541667	186	2019	7	5	0	0	72	43	833.06	1.57	106	34.2210	-118.0570	1673	33.8772	-117.4158	403	13.6500	44.7276	121.4778	52.0	3.030	304.80	15798.0137	6348	8.10	34.60	x.x/2.0/2.5/0.9	3.00	50000	0/0/0/0	99/7/6/2	 Sun	LakeMatt	LakeMatt	63116	xISL	Off	9.3132257E-9/9.3132257E-9/9.3132257E-9/9.3132257E-9	0.000000	0.000000	0.000000	NaN	0.000000	0.972427	0.159281	0.581622	0.718592	0.000000	0.460745	0.203109	0.331817	0.388096	0.000000	0.309132	-0.035838	0.136767	1.262214	0.000000	0.06026440	210739	49780	3000.000000	260519	15700.000000	5.000000	2500	0.001000	0
cl201907051734Norc.006	12	12	1.091653	496.3	12	12	0.747871	177.7	122.629096	1.682114	100.761128	32.647510	3645192874	3472.690671	17.576111	186	2019	7	5	0	0	73	39	833.06	2.24	104	34.2210	-118.0570	1673	33.9618	-117.5725	190	13.7518	44.3985	121.4778	52.0	3.030	304.80	15798.0137	6345	8.10	34.60	x.x/2.0/2.5/0.9	3.00	50000	0/0/0/0	99/7/6/2	 Sun	Norco	Norco	63241	xISL	Off	9.3132257E-9/9.3132257E-9/9.3132257E-9/9.3132257E-9	0.000000	0.000000	0.000000	NaN	0.000000	1.062383	0.170961	0.633180	0.722791	0.000000	0.458167	0.202578	0.330449	0.386822	0.000000	0.295567	-0.021534	0.137116	1.156890	0.000000	0.06026440	210739	49780	3000.000000	260519	15700.000000	5.000000	2500	0.001000	0
cl201907051736Pomo.007	12	12	1.103133	485.8	12	12	0.774896	181.5	122.829365	2.348765	101.184553	32.363054	3645192999	3472.692118	17.610833	186	2019	7	5	0	0	73	40	833.06	2.46	104	34.2210	-118.0570	1673	34.0434	-117.7246	253	13.5523	44.0650	121.4778	52.0	3.030	304.80	15798.0137	6336	8.10	34.60	x.x/2.0/2.5/0.9	3.00	50000	0/0/0/0	99/7/6/2	 Sun	Pomona	Pomona	63365	xISL	Off	9.3132257E-9/9.3132257E-9/9.3132257E-9/9.3132257E-9	0.000000	0.000000	0.000000	NaN	0.000000	1.100943	0.177455	0.656416	0.722412	0.000000	0.473613	0.209184	0.341347	0.387274	0.000000	0.301354	-0.025861	0.137775	1.187696	0.000000	0.06026440	210739	49780	3000.000000	260519	15700.000000	5.000000	2500	0.001000	0
cl201907051738210B.008	12	12	1.117454	481.1	12	12	0.775133	172.1	122.968198	4.099918	101.616435	32.068235	3645193125	3472.693576	17.645833	186	2019	7	5	0	0	73	43	833.06	1.57	125	34.2210	-118.0570	1673	34.1196	-117.8678	217	13.4140	43.1893	121.4778	52.0	3.030	304.80	15798.0137	6333	8.10	34.60	x.x/2.0/2.5/0.9	3.00	50000	0/0/0/0	99/7/6/2	 Sun	210Bend	210Bend	63491	xISL	Off	9.3132257E-9/9.3132257E-9/9.3132257E-9/9.3132257E-9	0.000000	0.000000	0.000000	NaN	0.000000	1.228005	0.192553	0.729887	0.728953	0.000000	0.464467	0.205630	0.334570	0.386270	0.000000	0.302433	-0.026597	0.137957	1.192557	0.000000	0.06026440	210739	49780	3000.000000	260519	15700.000000	5.000000	2500	0.001000	0
cl201907051741Spec.009	12	11	1.124996	335.4	12	12	0.848714	258.4	188.835227	21.366583	102.115388	31.760031	3645193268	3472.695231	17.685556	186	2019	7	5	0	0	74	41	833.06	1.57	93	34.2210	-118.0570	1673	34.2210	-118.0571	1673	-52.2001	34.2993	187.9803	52.0	3.030	304.80	15798.0137	6334	8.10	34.60	x.x/2.0/2.5/0.9	3.00	50000	0/0/0/0	99/7/6/2	 Sun	Spectralon	Spectralon	63635	xISL	Off	9.3132257E-9/9.3132257E-9/9.3132257E-9/9.3132257E-9	0.000000	0.000000	0.000000	NaN	0.000000	5.243231	0.899233	3.109297	0.707255	0.000000	1.130479	0.522368	0.826026	0.367918	0.000000	0.297668	-0.022091	0.137921	1.160286	0.000000	0.06026440	210739	49780	3000.000000	260519	15700.000000	5.000000	2500	0.001000	0
cl201907051743Coro.010	12	12	1.114257	450.4	12	12	0.757912	162.4	132.940391	1.396790	102.448706	30.826372	3645193413	3472.696910	17.725833	186	2019	7	5	0	0	73	39	833.06	2.68	97	34.2210	-118.0570	1673	33.8676	-117.6008	261	3.4801	44.5266	133.8916	52.0	3.030	304.80	15798.0137	6331	8.10	34.60	x.x/2.0/2.5/0.9	3.00	50000	0/0/0/0	99/7/6/2	 Sun	Corona	Corona	63780	xISL	Off	9.3132257E-9/9.3132257E-9/9.3132257E-9/9.3132257E-9	0.000000	0.000000	0.000000	NaN	0.000000	0.912226	0.161698	0.550958	0.698898	0.000000	0.423886	0.196190	0.310115	0.367207	0.000000	0.296973	-0.021496	0.137668	1.156104	0.000000	0.06026440	210739	49780	3000.000000	260519	15700.000000	5.000000	2500	0.001000	0
