         4.63     2.1745e+02    6.4303e-06    3.8081e-04    2.0950e-01    6.4303e-06    3.8081e-04    3.8081e-04
         9.92     2.3145e+02    6.4303e-06    3.8081e-04    2.0950e-01    6.4303e-06    3.8081e-04    3.8081e-04
        20.31     2.4545e+02    6.4302e-06    3.8081e-04    2.0950e-01    6.4302e-06    3.8081e-04    3.8081e-04
        39.97     2.5945e+02    6.4301e-06    3.8081e-04    2.0950e-01    6.4301e-06    3.8081e-04    3.8081e-04
        75.94     2.7065e+02    6.4300e-06    3.8081e-04    2.0950e-01    6.4300e-06    3.8081e-04    3.8081e-04
       143.14     2.6505e+02    6.4297e-06    3.8081e-04    2.0950e-01    6.4297e-06    3.8081e-04    3.8081e-04
       277.52     2.5105e+02    6.4291e-06    3.8081e-04    2.0950e-01    6.4291e-06    3.8081e-04    3.8081e-04
       558.92     2.3705e+02    6.4278e-06    3.8081e-04    2.0950e-01    6.4278e-06    3.8081e-04    3.8081e-04
      1171.87     2.2665e+02    6.4250e-06    3.8081e-04    2.0950e-01    6.4250e-06    3.8081e-04    3.8081e-04
      2511.02     2.2165e+02    6.4190e-06    3.8082e-04    2.0950e-01    6.4190e-06    3.8082e-04    3.8082e-04
      5474.89     2.1665e+02    6.4056e-06    3.8084e-04    2.0950e-01    6.4056e-06    3.8084e-04    3.8084e-04
     12044.60     2.1665e+02    6.3759e-06    3.8088e-04    2.0950e-01    6.3759e-06    3.8088e-04    3.8088e-04
     12430.50     2.1665e+02    6.3742e-06    3.8088e-04    2.0950e-01    6.3742e-06    3.8088e-04    3.8088e-04
     12828.80     2.1665e+02    6.3724e-06    3.8088e-04    2.0950e-01    6.3724e-06    3.8088e-04    3.8088e-04
     13239.80     2.1665e+02    6.3705e-06    3.8088e-04    2.0950e-01    6.3705e-06    3.8088e-04    3.8088e-04
     13664.00     2.1665e+02    6.3686e-06    3.8089e-04    2.0950e-01    6.3686e-06    3.8089e-04    3.8089e-04
     14101.80     2.1665e+02    6.3666e-06    3.8089e-04    2.0950e-01    6.3666e-06    3.8089e-04    3.8089e-04
     14553.60     2.1665e+02    6.3646e-06    3.8089e-04    2.0950e-01    6.3646e-06    3.8089e-04    3.8089e-04
     15019.90     2.1665e+02    6.3625e-06    3.8089e-04    2.0950e-01    6.3625e-06    3.8089e-04    3.8089e-04
     15501.20     2.1665e+02    6.3603e-06    3.8090e-04    2.0950e-01    6.3603e-06    3.8090e-04    3.8090e-04
     15997.80     2.1665e+02    6.3581e-06    3.8090e-04    2.0950e-01    6.3581e-06    3.8090e-04    3.8090e-04
     16510.40     2.1665e+02    6.3558e-06    3.8090e-04    2.0950e-01    6.3558e-06    3.8090e-04    3.8090e-04
     17039.40     2.1665e+02    6.3534e-06    3.8090e-04    2.0950e-01    6.3534e-06    3.8090e-04    3.8090e-04
     17585.40     2.1665e+02    6.3509e-06    3.8091e-04    2.0950e-01    6.3509e-06    3.8091e-04    3.8091e-04
